Week,Winner/tie,,Loser/tie,PtsW,PtsL
16,den,,det,27,17
16,phi,,dal,17,9
16,ari,@,sea,27,13
16,kc,@,CHI,26,3
16,gb,@,minn,23,10
17,no,@,car,42,10
17,mia,@,ne,27,24
17,gb,@,det,23,20
17,kc,,lac,31,21
17,atl,@,tb,28,22
17,CHI,@,minn,21,19
17,cin,,cle,33,23
17,nyj,@,buf,13,6
17,den,,oak,16,15
17,jax,,ind,38,20
17,dal,,was,47,16
17,phi,@,nyg,34,17
17,blt,,pitt,28,10
17,lar,,ari,31,24
17,tenn,@,hou,35,14
17,sf,@,sea,26,21
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
