Team,Elo
ARI,1284
ATL,1610
BAL,1589
BUF,1320
CAR,1631
CHI,1575
CIN,1200
CLE,1220
DAL,1570
DEN,1411
DET,1477
GB,1330
HOU,1605
IND,1585
JAX,1430
KC,1750
LAC,1620
LAR,1741
MIA,1200
MIN,1800
NE,1800
NO,1800
NYG,1305
NYJ,1200
OAK,1315
PHI,1664
PIT,1800
SEA,1553
SF,1223
TB,1458
TEN,1481
WAS,1388
